park,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),totalcrime,long,lat,area,crime/area
PELHAM BAY PARK,0,0,0,0,0,0,0,0,,,BRONX        ,2771.747
VAN CORTLANDT PARK,0,0,0,0,0,0,1,2,,,BRONX        ,1146.43
ROCKAWAY BEACH AND BOARDWALK,0,0,0,0,0,0,0,0,,,QUEENS       ,1072.564
FRESHKILLS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,913.32
FLUSHING MEADOWS CORONA PARK,0,3,0,3,0,3,21,35,,,QUEENS       ,897.69
LATOURETTE PARK & GOLF COURSE,0,0,0,0,0,0,1,1,,,STATEN ISLAND,843.97
MARINE PARK,0,0,0,0,0,0,2,2,,,BROOKLYN     ,798
BELT PARKWAY/SHORE PARKWAY,0,0,0,0,0,0,0,1,,,BROOKLYN/QUEENS,760.43
BRONX PARK,0,0,0,0,0,1,1,8,,,BRONX        ,718.373
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,0,0,0,0,0,1,0,1,,,STATEN ISLAND,644.35
ALLEY POND PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,635.514
PROSPECT PARK,0,0,2,0,2,3,0,10,,,BROOKLYN     ,526.25
FOREST PARK,0,0,1,0,1,0,0,2,,,QUEENS       ,506.86
GRAND CENTRAL PARKWAY,0,0,0,0,0,0,0,0,,,QUEENS       ,460.16
FERRY POINT PARK,0,0,0,0,0,0,0,0,,,BRONX        ,413.8
CONEY ISLAND BEACH & BOARDWALK,0,0,0,0,0,2,5,10,,,BROOKLYN     ,399.203
CUNNINGHAM PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,358
RICHMOND PARKWAY,0,0,0,0,0,0,0,0,,,STATEN ISLAND,350.983
CROSS ISLAND PARKWAY,0,0,0,0,0,0,0,0,,,QUEENS       ,326.895
GREAT KILLS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,315.094
WOLFE'S POND PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,302.693
CONFERENCE HOUSE PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,286.382
RANDALL'S ISLAND PARK,0,0,0,0,0,0,3,3,,,MANHATTAN    ,256.111
ROCKAWAY COMMUNITY PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,255.4
KISSENA PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,237.147
RIVERSIDE PARK,0,0,0,0,0,1,0,5,,,MANHATTAN    ,235.765
HUTCHINSON RIVER PARKWAY,0,0,0,0,0,0,0,0,,,BRONX        ,229.14
